"N/A","(无)"
"--Select--","--请选择--"
"Dynamic","动态"
"Separately","单独"
"Radio Buttons","单选"
"Incl. Tax","含税"
"Add Selection","增加选择"
"Add New Option","增加新的选项"
"Checkbox","多选"
"Multiple Select","多选"
"Excl. Tax","不含税"
"Drop-down","下拉菜单"
"Buy %1$s with %2$s discount each","买%1$s件，每件优惠%2$s"
"From","从"
"From:","从:"
"Price as configured","价格"
"Price Type","价格类型"
"Price Range","价格范围"
"Percent Discount","优惠百分比"
"Position","位置"
"Is Required","必填"
"Required options not selected.","必选项未选择。"
"To","到"
"To:","到:"
"Store View Title","商店界面标题"
"Together","共"
"Close","关闭"
"Fixed","固定"
"Gift Message","礼物留言"
"User Defined Qty","用户定义数量"
"Message:","留言:"
"Percent","百分比"
"Please enter search conditions to view products.","请输入搜索条件查看商品。"
"Choose a selection...","请选择..."
"Please select options for product.","请选择商品选项。"
"Please select products to add","请选择商品添加"
"Please specify product option(s)","请指定商品选项"
"Default","默认"
"Default Title","默认标题"
"Default Qty","默认数量"
"Input Type","输入类型"
"Shipment","配送"
"Selected required options not available.","选择的必选项无效。"
"Bundle Items","捆绑商品"
"Bundle Product","捆绑商品"
"Ship Bundle Items","捆绑商品发货"
"There is no defined renderer for ""%s"" option type","没有""%s""的选项类型的定义"
"This product is also part of bundle(s)","本商品捆绑销售"
"No options of this product are available.","本商品没有选项"
"As low as","最低"
"None","无"
"Qty:","数量:"
