"Search results for '%s'","%s'的搜索结果"
"%s and greater","%s及更大"
"List","单栏"
"No","否"
"Grid","多栏"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","属性设置修改与搜索索引相关。请运行<a href=""%s"">重建搜索索引</a> 程序"
"Apply Layered Navigation if search results are less than","应用分层导航，如果搜索结果少于"
"Applies for ""Like"" Search type only","仅应用于“相似”搜索类型"
"Modify your search","修改搜索"
"Required Fields","必填栏目"
"Catalog Advanced Search","分类高级搜索"
"Search entire store here...","全店搜索 ..."
"Relevance","关联"
"Results","结果"
"Popular Search Terms","热门搜索关键词"
"Popular search terms","热门搜索关键词"
"Catalog Search","目录搜索"
"Home","首页"
"Advanced Search","高级搜索"
"Subscribe to Feed","订阅RSS"
"Please enter ""0"" to enable layered navigation for any number of results","请输入“0”激活分层导航"
"You have to specify at least one search term","请输入至少一个搜索关键词"
"Go to Home Page","转到页面"
"Autogenerated site map","自动生成网站地图"
"Go","Go"
"Search","搜索"
"Search Terms","搜索关键字"
"Search Type","搜索类型"
"Search results for: '%s'","搜索结果: '%s'"
"Search Site","搜索网站"
"Search Settings","搜索设置"
"Maximum Search query  length is %s. Your query was cut.","搜索查询最大长度是%s，您的问题被切断。"
"There are no search terms available.","没有可用的搜索关键词。"
"Your search returns no results.","没有搜索到任何结果。"
"No items were found using the following search criteria.","没有找到与下列搜索条件相匹配的商品。"
"Don't see what you're looking for?","没有找到您想要的？"
"up to %s","最多%s"
"Maximum Query Words Count","最大查询词数"
"Maximum Query Length","最大查询长度"
"Minimal Query Length","最小查询长度"
"Yes","是"
"All","所有"
