"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Visible In","可见于"
"Add New Rating","增加新的评级"
"If you do not specify a rating title for a store, the default value will be used.","如果没有给商店输入评级名称，将采用缺省值。"
"Save Rating","保存评级"
"Edit Rating","修改评级"
"Delete Rating","删除评级"
"Be the first to review this product","第一个给该商品发表评论"
"Manage Ratings","管理评级"
"Default Value","缺省值"
"ID","编号"
"Please select one of each ratings above","请在上面选择一个评级"
"Rating Visibility","评级可见性"
"Rating Name","评级名称"
"Rating isn't Available","评级不可见"
"Rating Information","评级内容"
"Rating Options","评级选项"
"Rating Title","评级标题"
"Rating with the same title","评级标题重复"
"Option Title","选项标题"
"Option Title:","选项标题："
"Option Label","选项标记"
"Assigned Options","指定选项"
"New Rating","新的评级"
