"-- Please Select --","-- 请选择 --"
"Original price only","只对原价"
"Name","名称"
"Inc. Tax","含税"
"Incl. Tax","含税"
"Including tax","含税"
"Including and excluding tax","含税和不含税"
"Incl. Tax:","含税："
"Add New Tax Rule","增加新税则"
"Add New Tax Rate","增加新税率"
"Add New Class","增加新税种"
"Tax rates at the same priority are added, others are compounded.","处于同一优先级的税率将被添加，其余将被累加。"
"Customer Tax Class","客户税种"
"Customer Tax Classes","客户税种"
"Customer Tax Class Information","客户税种信息"
"Apply Tax On","对如下价格计算税收"
"Export Tax Rates","导出税率"
"Import / Export Tax Rates","导入/导出税率"
"Import Tax Rates","导入税率"
"Invalid file upload attempt","上传文件不正确"
"Invalid file format upload attempt","上传文件格式不正确"
"Excl. Tax","不含税"
"Excluding tax","不含税"
"Excl. Tax:","不含税："
"Code","代码"
"Priority","优先级"
"Save Rate","保存税率"
"Save Class","保存税种"
"Save Rule","保存规则"
"Error while saving this tax rule. Please try again later.","保存该税则时出错，请稍后重试。"
"Error while saving this rate. Please try again later.","保存该税率时出错，请稍后重试。"
"Error while saving this tax class. Class with the same name ","保存该税种时出错，税种名重复"
"Error while saving this tax class. Please try again later.","保存该税种时出错，请稍后重试。"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","保存此税则出现错误。此商品税种、客户税种及税率组合"
"Edit Rule","修改税则"
"Edit Class","修改税率"
"Edit Tax Rate","修改税率"
"Edit Class '%s'","修改税种'%s'"
"Delete Rule","删除税则"
"Delete Rate","删除税率"
"Delete Class","删除税种"
"Error while deleting this tax rule. Please try again later.","删除该税则时出错，请稍后重试。"
"Error while deleting this rate. Incorrect rate ID","删除该税率时出错，税率编号不正确"
"Error while deleting this rate. Please try again later.","删除该税率时出错，请稍后重试。"
"Error while deleting this class. Please try again later.","删除该税种时出错，请稍后重试。"
"Product Tax Class","商品税种"
"Product Tax Classes","商品税种"
"Product Tax Class Information","商品税种信息"
"Country","国家"
"County","国家"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"CSV","CSV"
"Tax","税"
"Tax Section","税单元"
"Tax Rules","税则"
"Tax Rule Information","税则信息"
"Tax Rate","税率"
"Tax Rate Information","税率信息"
"Invalid data for tax rate calculation","税率计算数据不正确"
"Tax Titles","税率标题"
"Tax Identifier","税率标识符"
"Incorrect rate Data","税率数据不正确"
"Tax Classes","税种"
"Class Name","税种名称"
"Tax Based On","税收标准"
"Manage Customer Tax Classes","管理客户税种"
"Manage Product Tax Classes","管理商品税种"
"Manage Tax Zones & Rates","管理税区和税率"
"Manage Tax Rules","管理税则"
"Manage Tax Rates","管理税率"
"State","省份"
"State/Region","省份/地区"
"Catalog prices include tax","目录价格包含税收"
"Calculation","计算"
"You cannot delete this tax class as it is used for %d customer groups.","该税种用于%d客户组，不能删除 ."
"You cannot delete this tax class as it is used for %d products.","该税种用于%d商品，不能删除"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","该税种用于税则中，不能删除，要先删除使用它的税则。"
"This class no longer exists","该类已不存在"
"This rule no longer exists","该规则已不存在"
"Please select Country","请选择国家"
"Please select County","请选择国家"
"Please select State","请选择省份"
"Default State","默认州、省"
"Default Country","默认国家"
"Default Tax Origin Calculation","默认税收地计算"
"Default Post Code","默认邮编"
"Back","返回"
"Zip/Post Code","邮编"
"Sales","销售"
"Reset","重置"
"Custom price if available","自定义价格（若有）"
"Shipping prices include tax","配送价格包含税收"
"Tax Class for Shipping","配送税种"
"Ignored when 'Apply Tax After Discount' option is enabled","若启用“在折扣后计算税收”选项，此项将被忽略"
"XML","XML"
"Apply Tax After Discount","折扣后计算税收"
"Apply Discount On Prices Including Tax","折扣在含税价格上进行"
"Sort Order","排列顺序"
"Rate","比例"
"One of the country has invalid code.","有一个国家代码不正确"
"Tax rate was successfully imported","成功导入税率"
"Tax rule was successfully saved","成功保存税则"
"Tax rate was successfully saved","成功保存税率"
"Tax class was successfully saved","成功保存税种"
"Tax rule was successfully deleted","成功删除税则"
"Tax rate was successfully deleted","成功删除税率"
"Tax class was successfully deleted","成功删除税种"
"Display","显示"
"Display full tax summary","显示完整税收说明"
"Display Zero Tax Subtotal","显示不含税总额"
"Display Product Prices","显示商品价格"
"Display Cart/Order Prices","显示购物车/订单价格"
"Display Shipping Prices","显示配送价格"
"New Rule","新税则"
"New Tax Rate","新税率"
"New Class","新税种"
"None","无"
"Are you sure you want to do this?","您确认要这么做吗？"
