"General Information","基本信息"
"Stop further rules processing","停止处理其它规则"
"Invoices","发票"
"Name: %s","名称：%s"
"No","否"
"Add New Rule","增加新的规则"
"Comments History","备注记录"
"Customer Groups","客户分组"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","尚有未执行的规则变更。请点击“应用规则”以查看目录价格变更效果"
"Attribute Set","属性集"
"Apply Rules","应用规则"
"Priority","优先级"
"Start at: %s","开始：%s"
"Date From","开始日期"
"Date Start","开始日期"
"From Date","开始日期"
"Save and Apply","保存并应用"
"Save Rule","保存规则"
"Edit Rule","修改规则"
"Edit Rule '%s'","修改规则'%s'"
"Promotions","促销"
"Delete Rule","删除规则"
"Category","分类"
"Product Attribute","商品属性"
"Status","状态"
"Gift Messages","礼物留言"
"Date To","结束日期"
"To Date","结束日期"
"ID","编号"
"Websites","网站"
"Catalog","目录"
"Catalog Price Rule","目录价格规则"
"Catalog Price Rules","目录价格规则"
"The page you are trying to save no longer exists","要保存的页面不存在"
"Rule Name","规则名称"
"Rule Information","规则信息"
"Order Invoices","订单发票"
"Order Gift Messages","订单礼物留言"
"Order History","订单记录"
"Order Shipments","订单配送"
"Order Credit Memos","订单退款记录"
"This rule no longer exists","该规则不存在"
"Description","说明"
"Description: %s","说明：%s"
"Shipments","配送"
"Options","选项"
"Credit Memos","退款记录"
"Conditions","条件"
"Conditions (leave blank for all products)","条件 (留空为所有商品)"
"Conditions Combination","条件组合"
"Customer registered: %s","注册日期：%s"
"Active","激活"
"NOT LOGGED IN","未登录"
"Inactive","未激活"
"Date Expire","有效期"
"Expire at: %s","有效期：%s"
"Rules were successfully applied","成功应用规则"
"Rule was successfully saved","成功保存规则"
"Rule was successfully deleted","成功删除规则"
"Yes","是"
"Customer is new buyer: %s","新客户：%s"
"New Rule","新规则"
"Unable to apply rules","无法应用规则"
"Unable to find a page to delete","无法找到要删除的页面"
"Actions","操作"
"Update product's %s %s: %s","更新商品的 %s %s: %s"
