"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"General Information","基本信息"
"Enabled","启用"
"Add New Page","增加新页面"
"Add New Block","增加新方框"
"Save Page","保存页面"
"Save Block","保存方框"
"Edit Page","修改页面"
"Edit Page '%s'","修改页面'%s'"
"Edit Block","修改方框"
"Edit Block '%s'","修改方框'%s'"
"Delete Page","删除页面"
"Delete Block","删除方框"
"Date Created","创建日期"
"Content","内容"
"Store View","商店界面"
"Product Tax Class Information","商品税率信息"
"Disabled","关闭"
"Keywords","关键字"
"Static Blocks","固定方框"
"CMS","CMS"
"CMS No Route Page","CMS 缺失页面"
"CMS Home Page","CMS 首页"
"Status","状态"
"Manage Pages","管理页面"
"Layout","版面"
"Layout Update XML","版面更新XML"
"Page Information","页面信息"
"Page Status","页面状态"
"Page Title","页面标题"
"Page Identifier cannot consist only of numbers.","页面标识符不能只含数字。"
"The page you are trying to save no longer exists","要保存的页面不存在"
"Home","首页"
"This page no longer exists","该页面不存在"
"This block no longer exists","该方框不存在"
"Go to Home Page","转到首页"
"Page Identifier for specified store already exist.","输入的商店页面标识符已存在。"
"Custom Theme","自定义主题"
"Custom Theme To","自定义主题到"
"Custom Theme From","自定义主题自"
"Customer Tax Class Information","自定义税率信息"
"Custom Design","自定义设计"
"Such a block identifier in selected store already exist.","选择商店的方框标识符已存在。"
"Meta Keywords","Meta 关键字"
"Meta Description","Meta 描述"
"Meta Data","Meta 数据"
"Poll Manager","投票管理"
"Description","描述"
"SEF URL Identifier","搜索引擎友好网址的标识符"
"Title","标题"
"Identifier","标识符"
"Unable to find a page to delete","没有找到要删除的页面"
"Unable to find a block to delete","没有找到要删除的方框"
"Last Modified","最后修改"
"Page was successfully saved","成功保存页面"
"Block was successfully saved","成功保存方框"
"Page was successfully deleted","成功删除页面"
"Block was successfully deleted","成功删除方框"
"Show breadcrumbs for CMS pages","显示CMS页面导航条"
"New Page","新页面"
"New Block","新方框"
"Block Information","方框信息"
"Block Title","方框标题"
"Action","操作"
"All countries","所有国家"
