"Search Results for '%s' (<a href='%s'>RSS</a>)","%s'的搜索结果 (<a href='%s'>RSS</a>)"
"Add to Cart","加入购物车"
"Add to Wishlist","加入收藏"
"General Information","基本信息"
"Visible In","可见于"
"First Name","名字"
"Name","名称"
"Add Tags","增加标签"
"Add New Tag","增加新标签"
"Add Your Tags:","增加您的标签："
"Use spaces to separate tags. Use single quotes (') for phrases.","多个标签请使用空格分开。短语请使用单引号(')标出。"
"Thank you. Your tag has been accepted for moderation.","多谢，您的标签已加入系统审核。"
"Grid","多栏"
"Last Name","姓氏"
"Customers","客户"
"Customers Tagged '%s'","客户标签'%s'"
"Tag ""%s"" has already been added to the product","已为指定商品添加标签 ""%s"""
"Approved","已批准"
"Price","价格"
"Uses","使用"
"# of Uses","使用次数"
"Pending","待审"
"Pending Tags","待审标签"
"Save Tag","保存标签"
"Change status","修改状态"
"Edit Tag","修改标签"
"Edit Tag '%s'","修改标签'%s'"
"Delete","删除"
"Delete Tag","删除标签"
"List","列表"
"Products","商品"
"Product SKU","商品 SKU"
"Product Name","商品名称"
"Product Tags","商品标签"
"Other people marked this product with these tags:","其它客户对该商品的标签："
"Country","国家"
"CSV","CSV"
"Status","状态"
"Disabled","禁用"
"ID","编号"
"Popular","热门"
"Popularity","热门度"
"Popular Tags","热门标签"
"Click on a tag to view your corresponding products.","点击标签查看相应的商品。"
"Email","电子邮件"
"Telephone","电话"
"Tagged in","登记的标签"
"Back","返回"
"Back to view Tag","返回查看标签"
"Back to Tags List","返回标签列表"
"ZIP/Post Code","邮编"
"SKU","SKU"
"View All","View All"
"XML","XML"
"View Customers","查看客户"
"View Products","查看商品"
"View All Tags","查看所有标签"
"Search Terms","搜索关键词"
"Tag","标签"
"Tags","标签"
"Tag Name","标签名称"
"Tag Name: %s","标签名称：%s"
"Tags Aren't Available","标签不可用"
"Tag can't be empty.","标签不能为空。"
"Tag Information","标签信息"
"Tags:","标签："
"Products Tagged with '%s'","标记为'%s'的商品"
"Products tagged with '%s'","标记为'%s'的商品"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","标记为'%s'的商品 (<a href='%s'>RSS</a>)"
"No matches found.","没有匹配的。"
"Customer Since","注册日期"
"Unable to find any products tagged with '%s' in the current store","本商店没有找到任何标记为'%s'的商品"
"%s tag(s) have been accepted for moderation","成功将 %s 个标签提交审核。"
"Your tag was successfully saved","成功保存标签"
"Your tag was successfully deleted","成功删除标签"
"My Tags","我的标签"
"My Recent Tags","我最近的标签"
"New Tag","新标签"
"Block Information","方框信息"
"Unable to save tag(s)","无法保存标签"
"Unable to save your tag. Please, try again later.","无法保存标签，请稍后再试。"
"Unable to remove tag. Please, try again later.","无法删除标签，请稍后再试。"
"Are you sure?","您确认吗？"
"Are you sure that you want to delete this tag?","您确认要删除该标签吗？"
"Are you sure you want to delete this tag?","您确认要删除该标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"You have not tagged any products yet.","您还没有标记任何商品。"
"Action","操作"
"Actions","操作"
"All Tags","所有标签"
