"Reviews for %s","%s的评论"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Visible In","可见于"
"Total invoiced","发票总计"
"Total Shipping","发货总计"
"First Name","名字"
"Number Added","增加数"
"Day","天"
"Name","姓名"
"Last Name","姓氏"
"Customer","客户"
"Customers","客户"
"Customer Name","客户姓名"
"Customers Reviews","客户评论"
"Customers Report","客户报表"
"Customer Tags","客户标签"
"Customers Tags","客户标签"
"Subtotal","小计"
"Invoiced","已出发票"
"Number of Ivoiced Orders","已出发票订单数量"
"Total Invoiced not Captured","已出发票未收款总计"
"Total Invoiced Captured","已出发票收款总计"
"Total Invoiced","已出发票总计"
"Refunded","已退款"
"Downloads","下载"
"Avg. approved rating","平均审核评级"
"Avg. rating","平均评级"
"Year","年"
"Stock Qty","库存数量"
"Bought from wishlists","从收藏购买"
"Price","价格"
"Discounts","优惠"
"Coupons","优惠券"
"Low stock","低库存"
"Applied Coupon","使用优惠券"
"Number Of Uses","使用次数"
"Number Fulfilled","使用数"
"Online Refunded","在线退款"
"Number of times deleted","删除次数"
"Revenue","利润"
"Created at","创建于"
"Number of Unique Tags","唯一标签数量"
"Detail","内容"
"Products","商品"
"Product Sku","商品 Sku"
"Product Name","商品名称"
"Product Reviews","商品评论"
"Products Reviews","商品评论"
"Poducts Report","商品报表"
"Products Report","商品报表"
"Product Tags","商品标签"
"Products Tags","商品标签"
"Number of Items","商品数"
"Quantity of Items","商品数量"
"CSV","CSV"
"Offline Refunded","离线退款"
"Tax","税"
"Tax Amount","税额"
"Results","结果"
"Out of stock","缺货"
"ID","编号"
"Popularity","热门度"
"Popular Tags","热门标签"
"Hits","点击"
"Email","电子邮件"
"Bestsellers","畅销商品"
"Excel","Excel"
"Orders","订单"
"Number of Orders","订单数量"
"Items Ordered","订购商品"
"Quantity Ordered","订购数量"
"Number Of Historical Uses","记录使用数"
"Guest","访客"
"Rate","评级"
"Review","评论"
"Reviews","评论"
"Number Of Reviews","评论数量"
"Number of Reviews","评论数量"
"Number Purchased","购买次数"
"Purchases","购物"
"Carts","购物车"
"Shopping Cart","购物车"
"Items in Cart","购物车中商品"
"Products in carts","购物车中商品"
"Default Recently Compared Products count","默认“最近比较商品”显示数量"
"Default Recently Viewed Products count","默认“最新查看商品”显示数量"
"Link","链接"
"Sales","销售"
"Sales Report","销售报表"
"Shipping","配送"
"Number of items bought from a wishlist: %s","通告收藏购买的商品数量：%s"
"Number of Refunded Orders","退款订单数量"
"Total Refunded","退款总计"
"Total refunded","退款总计"
"Products Sold","Products Sold"
"Reports","报表"
"Number Viewed","查看次数"
"Most Viewed","查看次数最多"
"Most viewed","查看次数最多"
"Number of Views","查看数量"
"Submitted In","提交"
"Submitted On","提交日期"
"Search Terms","搜索关键词"
"Customers by number of orders","根据订单数排列的客户"
"Customers by orders total","根据订单总额排列的客户"
"Tag","标签"
"Tag ""%s"" details","标签""%s""内容"
"Tag Name","标签名称"
"Tag use","标签使用"
"Tag Detail","标签内容"
"Tags submited by %s","标签提交人%s"
"Tags submitted to %s","标签提交给%s"
"Total Tags","标签总计"
"Title","标题"
"Abandoned carts","清空购物车"
"Month","月"
"Invalid date specified","指定日期有误"
"Customers that have wishlist: %s%","有收藏的客户：%s%"
"Last Review","最后评论"
"Recently Viewed/Compared Products","最近查看/比较的商品"
"Recently Viewed Products","最近查看的商品"
"Recently Compared Products","最近比较的商品"
"Show for Current","显示范围"
"New Accounts","新帐号"
"Number of New Accounts","新帐号数量"
"Carrier/Method","方式"
"Your Recently Viewed","您最近查看的"
"Your Recently Compared","您最近比较的"
"Action","操作"
"Wishlists","收藏"
"Wishlist vs. Regular Order","收藏与订购"
"Number of times wishlists have been shared (emailed): %s","收藏共享次数 (发邮件)：%s"
"Number of wishlist conversions: %s","收藏转换次数：%s"
"Wishlist Report","收藏报表"
"Number of wishlist referrals: %s","收藏推荐次数：%s"
"Number of wishlists: %s","收藏数量：%s"
"Updated at","更新于"
"Total","总计"
"Number of Total Tags","总标签数量"
